id_produto,nome_produto,categoria_produto,preco_produto,fornecedor_produto,peso_kg_produto,estoque_produto,produto_ativo,data_cadastro_produto,faixa_preco_produto,status_estoque_produto
PROD-0011,Tablet 10 Polegadas,Eletrônicos,682.0,Alpha Tech Importados,4.98,102,True,2020-04-05,Alto,Estoque Normal
PROD-0019,Câmera Fotográfica Digital,Eletrônicos,1509.0,Alpha Tech Importados,,498,True,2023-06-06,Alto,Estoque Normal
PROD-0081,Tênis de Corrida,Vestuário,157.0,Moda Brasil Atacado,0.29,150,True,2023-07-17,Medio,Estoque Normal
PROD-0102,Sandália Feminina,Vestuário,249.0,Confecções do Sul,0.54,14,True,2022-11-09,Alto,Estoque Normal
PROD-0103,Sapato Social Masculino,Vestuário,306.0,Moda Brasil Atacado,1.61,63,True,2021-02-13,Alto,Estoque Normal
PROD-0113,Meia-calça Feminina,Vestuário,27.0,Fashion Import Ltda,0.51,133,False,2022-03-18,Baixo,Estoque Normal
PROD-0121,Suéter Masculino,Vestuário,222.0,Moda Brasil Atacado,1.48,232,True,2018-12-12,Alto,Estoque Normal
PROD-0140,Kit de Almofadas 4 Peças,Casa,183.0,Casa & Cia Distribuidora,9.95,251,True,2018-06-21,Medio,Estoque Normal
PROD-0141,Luminária de Mesa,Casa,188.0,Decor Import,7.2,96,False,2023-10-24,Medio,Estoque Normal
PROD-0155,Fritadeira Air Fryer 4L,Casa,258.0,Casa & Cia Distribuidora,2.43,310,True,2025-02-07,Alto,Estoque Normal
PROD-0157,Batedeira Planetária,Casa,569.0,Utilidades do Lar Ltda,13.03,32,False,2021-03-05,Alto,Estoque Normal
PROD-0182,Dispenser Sabonete Líquido,Casa,84.0,Casa & Cia Distribuidora,8.0,486,True,2019-02-18,Medio,Estoque Normal
PROD-0183,Saboneteira,Casa,21.0,Decor Import,0.53,219,True,2021-05-31,Baixo,Estoque Normal
PROD-0192,Halteres Par 5kg,Esportes,51.0,Atlética Import Ltda,12.46,268,True,2021-08-11,Medio,Estoque Normal
PROD-0239,Regata Esportiva Masculina,Esportes,43.0,Esporte Total Ltda,12.21,441,True,2026-02-24,Baixo,Estoque Normal
PROD-0251,Perfume Masculino 100ml,Beleza,148.0,Cosméticos do Brasil Ltda,0.7,210,True,2020-01-06,Medio,Estoque Normal
